Transaction_Amount,Hour,DayOfWeek,Is_Weekend,Location_Rijeka,Location_Zagreb,Location_Split,Location_Osijek,Location_Dubrovnik,Location_Foreign,Merchant_Category_Food,Merchant_Category_Coffee,Merchant_Category_Groceries,Merchant_Category_Electronics,Merchant_Category_Clothing,Merchant_Category_Travel,Merchant_Category_Health,Merchant_Category_Entertainment,is_fraud
47.63,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
266.7,9,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9.97,23,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12.59,16,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
65.45,8,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.27,4,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
134.56,23,6,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33.37,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
947.35,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
196.87,8,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54.19,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.03,19,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
94.76,6,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
66.14,9,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
51.85,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.53,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19.23,15,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94.94,23,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21.82,15,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
28.52,21,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
630.42,22,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5.67,21,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
69.54,11,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238.85,13,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2411.07,22,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
6.96,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
44.11,7,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
37.8,23,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
