Transaction_Amount,Is_Weekend,Risk_Score,Fraud_Label,Hour,DayOfWeek,Location_London,Location_Mumbai,Location_New York,Location_Sydney,Location_Tokyo,Merchant_Category_Clothing,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel
39.79,0,0.8494,0,19,0,False,False,False,True,False,False,False,False,False,True
1.19,0,0.0959,1,4,2,False,False,True,False,False,True,False,False,False,False
28.96,0,0.84,1,15,1,False,True,False,False,False,False,False,False,True,False
254.32,0,0.7935,1,0,3,False,False,True,False,False,True,False,False,False,False
31.28,1,0.3819,1,23,5,False,True,False,False,False,False,True,False,False,False
168.55,0,0.0504,0,20,0,False,False,False,False,True,False,False,False,True,False
3.79,0,0.0875,0,1,1,True,False,False,False,False,False,False,False,True,False
7.08,0,0.5326,1,3,5,True,False,False,False,False,False,False,False,True,False
34.25,1,0.1347,0,22,3,False,False,False,False,True,True,False,False,False,False
16.24,0,0.3394,0,17,2,False,True,False,False,False,False,False,False,False,True
367.5,0,0.643,0,7,1,False,True,False,False,False,False,True,False,False,False
50.44,0,0.4582,0,8,6,True,False,False,False,False,False,False,False,False,True
55.5,0,0.5837,1,3,3,True,False,False,False,False,False,False,True,False,False
54.09,0,0.1454,0,20,4,False,False,False,True,False,False,True,False,False,False
9.66,1,0.0793,0,17,1,False,False,True,False,False,False,True,False,False,False
64.78,0,0.2245,0,9,0,False,True,False,False,False,False,False,False,True,False
37.11,1,0.1136,0,8,3,False,False,False,True,False,False,True,False,False,False
1.58,0,0.3433,0,9,5,False,False,True,False,False,True,False,False,False,False
178.56,1,0.444,1,10,2,False,False,False,False,True,False,False,True,False,False
19.37,0,0.2924,0,4,5,True,False,False,False,False,False,False,False,False,True
22.02,1,0.1305,0,4,3,False,False,False,True,False,False,True,False,False,False
203.97,1,0.8633,1,23,6,False,False,True,False,False,False,False,False,True,False
55.35,1,0.7883,0,16,3,False,False,False,True,False,False,True,False,False,False
17.17,0,0.0233,0,7,5,False,False,False,True,False,False,True,False,False,False
72.33,1,0.408,1,21,0,False,False,False,True,False,True,False,False,False,False
188.75,0,0.1379,0,7,6,False,False,False,True,False,False,False,False,False,True
2.61,0,0.5355,0,0,2,False,False,False,False,True,False,False,True,False,False
195.76,1,0.2553,0,19,1,False,True,False,False,False,False,False,False,False,True
8.06,0,0.4784,1,22,6,False,False,False,True,False,False,False,False,False,True
73.34,0,0.4097,0,13,3,True,False,False,False,False,True,False,False,False,False
9.82,0,0.9658,1,14,2,False,False,False,True,False,False,True,False,False,False
197.21,0,0.8843,1,17,5,False,False,False,True,False,False,True,False,False,False
56.45,0,0.6745,0,0,1,False,True,False,False,False,False,False,False,True,False
0.32,1,0.5475,0,2,5,False,False,False,True,False,False,True,False,False,False
63.83,0,0.6558,0,20,0,False,False,False,True,False,False,False,False,True,False
147.71,0,0.1327,0,16,1,False,False,False,True,False,False,False,False,True,False
127.57,1,0.7918,0,10,2,True,False,False,False,False,False,False,False,False,True
15.24,0,0.5575,0,8,3,False,True,False,False,False,False,False,False,False,True
80.4,0,0.8746,1,6,2,False,False,True,False,False,False,False,False,False,True
3.13,0,0.4547,0,6,3,False,True,False,False,False,False,False,False,True,False
9.53,1,0.3199,0,15,4,False,False,False,False,True,False,False,True,False,False
24.73,1,0.8063,0,0,5,False,False,True,False,False,True,False,False,False,False
138.21,0,0.703,0,9,6,False,False,True,False,False,False,True,False,False,False
39.63,0,0.5676,1,12,1,False,False,False,False,True,False,False,False,False,True
11.77,1,0.7972,1,20,4,True,False,False,False,False,False,False,True,False,False
129.22,0,0.7823,0,18,3,True,False,False,False,False,True,False,False,False,False
13.36,0,0.8096,0,16,3,False,False,True,False,False,False,False,True,False,False
272.93,0,0.3406,0,2,4,True,False,False,False,False,False,False,True,False,False
23.69,0,0.6866,0,3,3,False,False,False,False,True,False,False,False,True,False
70.81,1,0.5454,0,19,6,False,True,False,False,False,False,True,False,False,False
22.63,1,0.3183,0,4,6,False,False,True,False,False,False,False,True,False,False
92.27,0,0.9537,1,5,3,False,True,False,False,False,False,False,False,False,True
112.72,0,0.1398,0,10,4,True,False,False,False,False,True,False,False,False,False
213.77,1,0.1848,0,12,1,False,True,False,False,False,True,False,False,False,False
3.06,0,0.0077,0,18,1,False,False,False,True,False,False,True,False,False,False
308.73,0,0.6362,0,22,1,False,True,False,False,False,True,False,False,False,False
18.98,0,0.9372,1,10,3,False,False,False,True,False,True,False,False,False,False
38.1,0,0.7429,0,7,3,False,True,False,False,False,False,False,False,True,False
69.78,1,0.9892,1,2,5,False,False,True,False,False,False,False,False,True,False
29.6,0,0.4975,0,17,5,True,False,False,False,False,False,False,True,False,False
231.0,0,0.8829,1,10,4,True,False,False,False,False,False,False,False,True,False
24.48,0,0.319,0,12,2,False,True,False,False,False,False,True,False,False,False
237.11,1,0.7501,0,9,6,False,False,False,True,False,False,True,False,False,False
306.6,1,0.4144,0,20,1,False,True,False,False,False,False,False,True,False,False
29.72,0,0.4566,0,10,4,True,False,False,False,False,False,False,True,False,False
124.88,0,0.6091,0,8,4,False,False,False,True,False,False,True,False,False,False
27.92,0,0.1976,0,2,1,False,False,False,False,True,True,False,False,False,False
34.39,0,0.673,0,6,6,True,False,False,False,False,False,False,True,False,False
95.05,0,0.3344,0,22,1,True,False,False,False,False,False,False,False,True,False
31.7,0,0.0055,0,13,5,False,False,False,True,False,True,False,False,False,False
191.97,0,0.0958,0,11,6,False,True,False,False,False,True,False,False,False,False
44.07,0,0.3889,0,19,3,False,True,False,False,False,False,False,True,False,False
25.38,0,0.3222,0,6,6,False,False,False,True,False,True,False,False,False,False
394.62,0,0.6492,0,1,6,False,False,False,True,False,False,False,False,True,False
63.37,0,0.2708,0,12,6,True,False,False,False,False,False,False,True,False,False
16.97,0,0.7169,0,11,5,False,False,True,False,False,False,True,False,False,False
363.86,1,0.2718,0,3,3,True,False,False,False,False,False,True,False,False,False
106.2,0,0.2693,0,5,4,True,False,False,False,False,False,True,False,False,False
70.42,0,0.8499,0,4,0,False,True,False,False,False,False,False,False,False,True
21.33,1,0.1647,0,1,5,False,False,True,False,False,True,False,False,False,False
64.23,0,0.1274,0,19,2,False,False,False,True,False,True,False,False,False,False
298.9,0,0.9441,1,5,2,False,False,False,True,False,False,False,False,False,True
173.68,0,0.7388,1,10,5,True,False,False,False,False,False,False,True,False,False
126.92,0,0.3925,1,6,4,False,False,False,False,True,False,False,False,False,True
40.64,0,0.6901,0,14,6,True,False,False,False,False,False,True,False,False,False
12.87,1,0.4653,0,4,5,False,False,True,False,False,True,False,False,False,False
3.1,0,0.7693,1,12,3,False,False,True,False,False,False,False,False,False,True
31.27,1,0.737,0,21,6,False,False,True,False,False,True,False,False,False,False
77.02,0,0.4556,0,4,1,False,True,False,False,False,False,False,False,False,True
9.21,0,0.4958,0,1,6,False,False,False,True,False,False,False,False,True,False
24.95,1,0.3064,0,7,1,True,False,False,False,False,True,False,False,False,False
48.03,0,0.1824,0,7,5,False,True,False,False,False,True,False,False,False,False
31.32,1,0.491,0,23,2,True,False,False,False,False,False,False,False,False,True
60.8,1,0.3993,0,8,3,False,True,False,False,False,False,False,False,True,False
98.82,0,0.1682,0,14,5,False,False,True,False,False,False,False,False,True,False
32.32,0,0.69,0,22,0,True,False,False,False,False,False,False,True,False,False
174.45,1,0.4651,0,16,0,False,False,False,True,False,True,False,False,False,False
109.35,0,0.389,0,15,1,True,False,False,False,False,False,False,False,True,False
22.51,1,0.4306,0,15,4,True,False,False,False,False,False,False,False,True,False
35.93,0,0.6015,0,22,2,False,False,False,False,True,False,True,False,False,False
282.59,0,0.8951,1,16,0,False,False,True,False,False,False,True,False,False,False
263.8,0,0.8601,1,3,1,False,False,False,False,True,True,False,False,False,False
58.79,1,0.2124,0,22,2,True,False,False,False,False,False,False,True,False,False
124.74,0,0.4269,0,14,6,False,True,False,False,False,False,False,False,False,True
48.92,1,0.9879,1,5,3,False,False,False,True,False,False,False,False,True,False
4.97,0,0.3491,0,21,0,False,True,False,False,False,True,False,False,False,False
50.4,0,0.5126,0,8,0,True,False,False,False,False,False,True,False,False,False
180.62,0,0.6589,0,8,2,False,False,False,True,False,False,False,False,False,True
140.6,0,0.7153,0,17,1,False,False,False,True,False,True,False,False,False,False
231.35,1,0.1123,0,11,0,False,False,False,False,True,False,False,True,False,False
212.22,0,0.4688,1,20,2,False,False,False,True,False,False,False,False,False,True
147.84,0,0.6642,0,16,2,False,False,False,True,False,False,False,False,False,True
158.85,0,0.3265,0,12,6,False,False,True,False,False,False,False,False,False,True
4.43,1,0.4432,0,8,5,False,False,True,False,False,False,False,False,True,False
85.45,0,0.3784,0,10,5,False,False,False,True,False,False,False,True,False,False
99.32,1,0.1655,1,3,3,True,False,False,False,False,True,False,False,False,False
87.29,1,0.1413,0,23,2,False,False,False,True,False,False,False,False,False,True
229.0,0,0.3067,0,16,1,False,False,False,True,False,False,False,False,True,False
22.4,1,0.1453,0,0,0,False,False,False,False,True,False,True,False,False,False
263.59,0,0.3619,0,22,0,False,False,True,False,False,False,False,True,False,False
425.97,1,0.314,0,17,3,True,False,False,False,False,True,False,False,False,False
119.44,0,0.6425,0,17,5,False,False,True,False,False,True,False,False,False,False
18.41,0,0.8117,0,19,1,False,False,False,True,False,False,True,False,False,False
8.74,0,0.6706,0,5,5,False,False,True,False,False,False,True,False,False,False
513.78,0,0.6938,0,21,5,False,True,False,False,False,False,False,False,False,True
57.85,0,0.9129,1,15,0,False,False,True,False,False,False,True,False,False,False
27.64,0,0.76,1,21,5,False,False,False,False,True,False,False,False,True,False
64.61,0,0.6274,0,22,3,False,False,True,False,False,True,False,False,False,False
106.84,0,0.3657,0,3,0,False,False,False,True,False,False,False,True,False,False
80.2,1,0.0462,0,11,6,False,False,False,True,False,False,False,False,False,True
11.91,0,0.2151,0,19,2,False,True,False,False,False,False,False,False,False,True
202.75,1,0.1632,0,6,0,True,False,False,False,False,False,False,False,False,True
45.05,1,0.8534,1,22,0,False,False,False,True,False,False,False,True,False,False
68.08,1,0.3606,0,7,3,False,False,False,True,False,False,True,False,False,False
38.38,0,0.6095,1,5,3,False,False,True,False,False,False,False,False,True,False
45.14,0,0.0042,0,2,3,False,True,False,False,False,False,False,True,False,False
40.68,0,0.8577,1,11,1,True,False,False,False,False,True,False,False,False,False
28.93,0,0.5639,0,22,5,False,True,False,False,False,False,False,False,False,True
211.35,1,0.4945,1,7,0,True,False,False,False,False,False,False,False,False,True
221.65,0,0.8891,1,3,4,False,True,False,False,False,False,False,True,False,False
203.14,0,0.7617,1,20,3,False,False,False,True,False,False,True,False,False,False
77.56,1,0.7788,0,19,4,False,True,False,False,False,False,True,False,False,False
